Level,Date and Time,Source,Event ID,Task Category
Information,3/27/2023 7:37:17 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKsl9f162b76
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{DBE27B70-E32D-40D3-9CC5-3FD7E408D751}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Warning,3/27/2023 7:37:16 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wpad timed out after none of the configured DNS servers responded.
Information,3/27/2023 7:37:10 AM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2005‎-‎08‎-‎08T13:17:00.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2007‎-‎04‎-‎09T11:08:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2072‎-‎04‎-‎19T10:54:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2072‎-‎04‎-‎19T10:54:12.000000000Z) unloaded successfully."
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2072‎-‎04‎-‎19T10:54:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1986‎-‎08‎-‎13T13:58:59.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:09 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2084‎-‎01‎-‎02T01:25:46.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:08 AM,Microsoft-Windows-Directory-Services-SAM,16983,None,"The security account manager is now logging periodic summary events for remote clients that call legacy password change or set RPC methods.

For more information please see https://go.microsoft.com/fwlink/?linkid=2150956.
"
Information,3/27/2023 7:37:08 AM,Microsoft-Windows-Directory-Services-SAM,16977,None,"The domain is configured with the following minimum password length-related settings.

MinimumPasswordLength: 0

RelaxMinimumPasswordLengthLimits: 0

MinimumPasswordLengthAudit: -1

For more information see https://go.microsoft.com/fwlink/?LinkId=2097191.
"
Information,3/27/2023 7:37:08 AM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,3/27/2023 7:37:08 AM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,3/27/2023 7:37:08 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{3e1ae928-61ee-4947-af5a-9cabbd50feef} (\Device\HarddiskVolume4) is healthy.  No action is needed.
Information,3/27/2023 7:37:07 AM,e1i65x64,32,None,"The description for Event ID 32 from source e1i65x64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) 82574L Gigabit Network Connection

The message resource is present but the message was not found in the message table
"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 7 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 6 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 5 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 4 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Information,3/27/2023 7:37:07 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎2025‎-‎01‎-‎05T19:41:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:06 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2002‎-‎03‎-‎01T04:12:42.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:06 AM,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
Information,3/27/2023 7:37:06 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'SysmonDrv' (0.0, ‎2023‎-‎01‎-‎20T10:59:19.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:06 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'WdFilter' (10.0, ‎2012‎-‎02‎-‎25T07:53:43.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:06 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2023‎-‎04‎-‎22T19:17:53.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:06 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎2062‎-‎12‎-‎22T22:21:06.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:37:04 AM,vmci,3,None,"The description for Event ID 3 from source vmci cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

VMCI: Using capabilities (0x1c).


The message resource is present but the message was not found in the message table
"
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-HAL,16,None,The iommu fault reporting has been initialized.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-Boot,238,(101),EFI time zone bias: 2047. Daylight flags: 0.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,3/27/2023 7:37:02 AM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2023‎-‎03‎-‎27T14:37:01.500000000Z.
Information,3/27/2023 7:36:54 AM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2023‎-‎03‎-‎27T14:36:54.515640000Z.
Information,3/27/2023 7:36:53 AM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information,3/27/2023 7:37:09 AM,EventLog,6013,None,The system uptime is 7 seconds.
Information,3/27/2023 7:37:09 AM,EventLog,6005,None,The Event log service was started.
Information,3/27/2023 7:37:09 AM,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 19044  Multiprocessor Free.
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-Dhcp-Client,50106,Service State Event,DHCPv4 is waiting on DHCPv6 service to stop
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-DHCPv6-Client,51057,Service State Event,DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-Dhcp-Client,50105,Service State Event,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-Dhcp-Client,50104,Service State Event,DHCPv4 client received shutdown notification
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎03‎-‎27T14:36:52.496400600Z from ‎2023‎-‎03‎-‎27T14:36:52.494904300Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 5260)."
Information,3/27/2023 7:36:52 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/27/2023 7:36:52 AM,EventLog,6006,None,The Event log service was stopped.
Information,3/27/2023 7:36:51 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,3/27/2023 7:36:49 AM,User32,1074,None,"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-887GK2L) has initiated the restart of computer DESKTOP-887GK2L on behalf of user DESKTOP-887GK2L\CyberJunkie for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: restart
 Comment: "
Information,3/27/2023 7:35:57 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.385.1261.0)
Information,3/27/2023 7:35:55 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,3/27/2023 7:35:52 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,3/27/2023 7:35:52 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.385.1261.0)
Information,3/27/2023 7:35:52 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,3/27/2023 7:34:18 AM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.119.148.38:123) with reference id 647264040. Current local stratum number is 4."
Information,3/27/2023 7:34:04 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.119.148.38:123)."
Warning,3/27/2023 7:34:02 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/27/2023 7:34:02 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/27/2023 7:32:10 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wpad timed out after none of the configured DNS servers responded.
Information,3/27/2023 7:32:01 AM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
Information,3/27/2023 7:32:01 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,3/27/2023 7:32:01 AM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,3/27/2023 7:32:01 AM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,3/27/2023 7:32:01 AM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2005‎-‎08‎-‎08T13:17:00.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2007‎-‎04‎-‎09T11:08:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2072‎-‎04‎-‎19T10:54:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2072‎-‎04‎-‎19T10:54:12.000000000Z) unloaded successfully."
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2072‎-‎04‎-‎19T10:54:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1986‎-‎08‎-‎13T13:58:59.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2084‎-‎01‎-‎02T01:25:46.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-Directory-Services-SAM,16983,None,"The security account manager is now logging periodic summary events for remote clients that call legacy password change or set RPC methods.

For more information please see https://go.microsoft.com/fwlink/?linkid=2150956.
"
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-Directory-Services-SAM,16977,None,"The domain is configured with the following minimum password length-related settings.

MinimumPasswordLength: 0

RelaxMinimumPasswordLengthLimits: 0

MinimumPasswordLengthAudit: -1

For more information see https://go.microsoft.com/fwlink/?LinkId=2097191.
"
Information,3/27/2023 7:32:00 AM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,3/27/2023 7:31:59 AM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,3/27/2023 7:31:59 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/27/2023 7:31:59 AM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{3e1ae928-61ee-4947-af5a-9cabbd50feef} (\Device\HarddiskVolume4) is healthy.  No action is needed.
Information,3/27/2023 7:31:58 AM,e1i65x64,32,None,"The description for Event ID 32 from source e1i65x64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) 82574L Gigabit Network Connection

The message resource is present but the message was not found in the message table
"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 7 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 6 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 5 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 4 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 3693
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎2025‎-‎01‎-‎05T19:41:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:31:57 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2002‎-‎03‎-‎01T04:12:42.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:31:56 AM,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
Information,3/27/2023 7:31:56 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'SysmonDrv' (0.0, ‎2023‎-‎01‎-‎20T10:59:19.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:31:56 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'WdFilter' (10.0, ‎2012‎-‎02‎-‎25T07:53:43.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:31:56 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2023‎-‎04‎-‎22T19:17:53.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:31:56 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎2062‎-‎12‎-‎22T22:21:06.000000000Z) has successfully loaded and registered with Filter Manager."
Information,3/27/2023 7:31:54 AM,vmci,3,None,"The description for Event ID 3 from source vmci cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

VMCI: Using capabilities (0x1c).


The message resource is present but the message was not found in the message table
"
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-HAL,16,None,The iommu fault reporting has been initialized.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-Boot,238,(101),EFI time zone bias: 2047. Daylight flags: 0.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,3/27/2023 7:31:52 AM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2023‎-‎03‎-‎27T14:31:51.500000000Z.
Information,3/26/2023 5:00:13 PM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2023‎-‎03‎-‎27T00:00:13.442070700Z.
Information,3/26/2023 5:00:12 PM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information,3/26/2023 5:00:11 PM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,3/27/2023 7:32:00 AM,EventLog,6013,None,The system uptime is 9 seconds.
Information,3/27/2023 7:32:00 AM,EventLog,6005,None,The Event log service was started.
